,,TYPERFR1,,Num,Door arrangement of most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES
,,AGERFRI1,,Num,Age of most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES
,,ICE,,Num,Have through-the-door ice on most-used refrigerator,"1 Yes
0 No
-2 Not applicable",APPLIANCES
,,SIZRFRI2,,Num,Size of second-most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES
,,TYPERFR2,,Num,Door arrangement of second-most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES
,,AGERFRI2,,Num,Age of second-most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES
,,LOCRFRI2,,Num,Location of second-most-used refrigerator,"1 Basement
2 Garage
3 Outside
4 Main living area
99 Other 
-2 Not applicable",APPLIANCES
,,WINECHILL,,Num,Has wine chiller,"1 Yes
0 No",APPLIANCES
,,NUMFREEZ,,Num,Number of separate freezers used,0 - 8,APPLIANCES
,,UPRTFRZR,,Num,Door arrangement of most-used freezer,"1 Upright
2 Chest
-2 Not applicable",APPLIANCES
,,SIZFREEZ,,Num,Size of most-used freezer,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES
,,FREEZER,,Num,Defrosting type of most-used freezer,"1 Manual
2 Automatic
-2 Not applicable",APPLIANCES
,,AGEFRZR,,Num,Age of most-used freezer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES
,,RANGE,,Num,Number of ranges (single appliance with both a cooktop and an oven),0 - 2,APPLIANCES
,,COOKTOP,,Num,Number of separate cooktops,0 - 2,APPLIANCES
,,OVEN,,Num,Number of wall ovens,0 - 3,APPLIANCES
,,RANGEFUEL,,Num,Fuel used by range,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
13 Electricity and gas (dual-fuel range) 
-2 Not applicable",APPLIANCES
,,RANGEINDT,,Num,Range has induction cooktop,"1 Yes
0 No
-2 Not applicable",APPLIANCES
,,RCOOKUSE,,Num,Frequency of use of cooktop part of range per week,"0 - 21
-2  Not applicable",APPLIANCES
,,ROVENUSE,,Num,Frequency of use of oven part of range per week,"0 - 21
-2  Not applicable",APPLIANCES
,,COOKTOPFUEL,,Num,Fuel used by separate cooktop,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES
,,COOKTOPINDT,,Num,Separate cooktop is induction,"1 Yes
0 No
-2 Not applicable",APPLIANCES
,,COOKTOPUSE,,Num,Frequency of separate cooktop use per week,"0 - 21
-2  Not applicable",APPLIANCES
,,OVENFUEL,,Num,Fuel used by wall oven,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES
,,OVENUSE,,Num,Frequency of wall oven use per week,"0 - 21
-2  Not applicable",APPLIANCES
,,MICRO,,Num,Number of microwaves ,0 - 3,APPLIANCES
,,AMTMICRO,,Num,Frequency of microwave use per week,"0 - 70
-2  Not applicable",APPLIANCES
,,OUTGRILLFUEL,,Num,Fuel used by outdoor grill,"1 Yes, natural gas grill
2 Yes, propane grill
23 Yes, charcoal grill
-2 No grill (Not applicable)",APPLIANCES
derived?,,OUTGRILL,,Num,Outdoor grill used; a derived variable,"1 Yes
0 No",APPLIANCES
,,NUMMEAL,,Num,Frequency hot meals are cooked,"1 Three or more times a day
2 Two times a day
3 Once a day
4 A few times each week
5 About once a week
6 Less than once a week
0 Never",APPLIANCES
,,USECOFFEE,,Num,How often electric coffee maker is used per week,"1 Every day or almost every day
2 A few times each week
3 Only occasionally
0 Does not have or does not use coffee maker in home",APPLIANCES
,,TOAST,,Num,Toaster used at least once per week,"1 Yes
0 No",APPLIANCES
,,TOASTOVN,,Num,Toaster oven used at least once per week,"1 Yes
0 No",APPLIANCES
,,CROCKPOT,,Num,Crock-Pot or slow cooker used at least once per week,"1 Yes
0 No",APPLIANCES
,,PRSSCOOK,,Num,Instant Pot or electric pressure cooker used at least once per week,"1 Yes
0 No",APPLIANCES
,,RICECOOK,,Num,Rice cooker used at least once per week,"1 Yes
0 No",APPLIANCES
,,BLENDER,,Num,Blender or juicer used at least once per week,"1 Yes
0 No",APPLIANCES
,,APPOTHER,,Num,Any other small kitchen appliance used at least once per week,"1 Yes
0 No",APPLIANCES
derived,,ELFOOD,,Num,Electricity used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES
derived,,LPCOOK,,Num,Propane used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES
derived,,UGCOOK,,Num,Natural gas used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES
,,DISHWASH,,Num,Has dishwasher,"1 Yes
0 No",APPLIANCES
,,DWASHUSE,,Num,Frequency of dishwasher use per week,"0 - 21
-2  Not applicable",APPLIANCES
,,DWCYCLE,,Num,Dishwasher cycle type,"1 Normal cycle without heated dry
2 Normal cycle with heated dry
3 Heavy or “pots and pans” cycle
4 Light or delicate cycle
5 Energy saver cycle
6 Quick cycle
-2 Not applicable",APPLIANCES
,,AGEDW,,Num,Age of dishwasher,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES
,,CWASHER,,Num,Has clothes washer in home,"1 Yes
0 No",APPLIANCES
,,TOPFRONT,,Num,Top- or front-loading clothes washer,"1 Top-loading
2 Front-loading
-2 Not applicable",APPLIANCES
,,WASHLOAD,,Num,Frequency of clothes washer use per week,"0 - 30
-2  Not applicable",APPLIANCES
,,WASHTEMP,,Num,Water temperature used for clothes washer wash cycle,"1 Hot
2 Warm
3 Cold 
-2 Not applicable",APPLIANCES
,,AGECWASH,,Num,Age of clothes washer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES
,,DRYER,,Num,Has clothes dryer in home,"1 Yes
0 No",APPLIANCES
,,DRYRFUEL,,Num,Fuel used by clothes dryer,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES
,,DRYRUSE,,Num,Frequency of clothes dryer use per week,"0 - 30
-2  Not applicable",APPLIANCES
,,AGECDRYER,,Num,Age of clothes dryer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES
,,TVCOLOR,,Num,Number of televisions used,0 - 14,ELECTRONICS
*** Do we want to include data on electronics?,,TVSIZE1,,Num,Size of most-used TV,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS
,,TVTYPE1,,Num,Display type of most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS
,,TVUSE1,,Num,Main use of most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS
,,TVONWD1,,Num,Most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS
,,TVONWE1,,Num,Most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS
,,TVSIZE2,,Num,Size of second-most-used TV,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS
,,TVTYPE2,,Num,Display type of second-most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS
,,TVUSE2,,Num,Main use of second-most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS
,,TVONWD2,,Num,Second-most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS
,,TVONWE2,,Num,Second-most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS
,,TVSIZE3,,Num,Third-most-used TV size,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS
,,TVTYPE3,,Num,Display type of third-most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS
,,TVUSE3,,Num,Main use of third-most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS
,,TVONWD3,,Num,Third-most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS
,,TVONWE3,,Num,Third-most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS
,,CABLESAT,,Num,Number of cable or satellite boxes without DVR used,"0 - 12
-2  Not applicable",ELECTRONICS
,,COMBODVR,,Num,Number of cable or satellite boxes with DVR used,"0 - 10
-2  Not applicable",ELECTRONICS
,,SEPDVR,,Num,Number of separate DVRs used,"0 - 6
-2  Not applicable",ELECTRONICS
,,INTSTREAM,,Num,Number of over-the-top internet streaming devices for TV used,"0 - 10
-2  Not applicable",ELECTRONICS
,,PLAYSTA,,Num,Number of video game consoles used,"0 - 8
-2  Not applicable",ELECTRONICS
,,DVD,,Num,Number of DVD or Blu-ray players used,"0 - 6
-2  Not applicable",ELECTRONICS
,,VCR,,Num,Number of VCRs used,"0 - 5
-2  Not applicable",ELECTRONICS
,,TVAUDIOSYS,,Num,Number of home theater or audio systems used,"0 - 5
-2  Not applicable",ELECTRONICS
,,DESKTOP,,Num,Number of desktop computers used,0 - 8,ELECTRONICS
,,NUMLAPTOP,,Num,Number of laptop computers used,0 - 20,ELECTRONICS
,,NUMTABLET,,Num,Number of tablet computers or e-readers used,0 - 10,ELECTRONICS
,,ELPERIPH,,Num,"Number of printers, scanners, fax machines, or copiers used",0 - 10,ELECTRONICS
,,NUMSMPHONE,,Num,Number of smartphones used,0 - 11,ELECTRONICS
,,CELLPHONE,,Num,Number of other cell phones used,0 - 12,ELECTRONICS
,,TELLWORK,,Num,Any household member teleworking,"1 Yes
0 No",ELECTRONICS
,,TELLDAYS,,Num,Number of days teleworking in the past week,"0 - 7
-2  Not applicable",ELECTRONICS
,,TLDESKTOP,,Num,Desktop computer used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,TLLAPTOP,,Num,Laptop computer used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,TLTABLET,,Num,Tablet used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,TLMONITOR,,Num,External monitor used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,TLOTHER,,Num,Any other computer equipment used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,ONLNEDUC,,Num,Any household member receiving online K-12 distance learning or online college courses,"1 Yes
0 No",ELECTRONICS
,,INTERNET,,Num,Internet access at home,"1 Yes, by paying a cell phone company or Internet service provider
2 Yes, without paying a cell phone company or Internet service provider
0 No access to the Internet",ELECTRONICS
,,INTYPECELL,,Num,Have Internet access using cellular data,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,INTYPEBROAD,,Num,Have Internet access using broadband service,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,INTYPEOTH,,Num,"Have Internet access using satellite, dial-up, or other service","1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,SMARTSPK,,Num,Number of smart speakers,"0 - 9
-2  Not applicable",ELECTRONICS
,,SSLIGHT,,Num,Use smart speakers to control lighting,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,SSTEMP,,Num,Use smart speakers to control temperature,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,SSSECURE,,Num,"Use smart speakers to control security system, cameras, or locks","1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,SSTV,,Num,Use smart speakers to control TV or peripherals,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,,SSOTHER,,Num,Use smart speakers to control some other device,"1 Yes
0 No
-2 Not applicable",ELECTRONICS
,y,HEATHOME,num,Num,Space heating equipment used,"1 Yes
0 No",SPACE HEATING
derived,n,DNTHEAT,,Num,"No space heating equipment, or unused space heating equipment; a derived variable","1  Has space heating equipment, but does not use it
2  Does not have any space heating equipment
-2 Not applicable",SPACE HEATING
,outlier,HEATAPT,num,Num,Main heating equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",SPACE HEATING
,outlier,EQUIPM,cat,Num,Main space heating equipment type,"3 Central furnace 
2 Steam or hot water system with radiators or pipes 
4 Central heat pump
13 Ductless heat pump, also known as a “mini-split”
5 Built-in electric units installed in walls, ceilings, baseboards, or floors
7 Built-in room heater burning gas or oil
8 Wood or pellet stove 
10 Portable electric heaters
99 Other 
-2 Not applicable",SPACE HEATING
,category,FUELHEAT,cat,Num,Main space heating fuel,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood or pellets
99 Other
-2 Not applicable",SPACE HEATING
,outlier,EQUIPAGE,num,Num,Age of main space heating equipment,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",SPACE HEATING
,outlier,GEOHP,num,Num,Main central heat pump is geothermal or ground source,"1 Yes
0 No
-2 Not applicable",SPACE HEATING
,outlier,EQUIPAUXTYPE,cat,Num,Secondary space heating equipment type,"0 Home is heated but no secondary equipment used
10 Portable electric heaters
9 Fireplace
8 Wood or pellet stove
5 Built-in electric units installed in walls, ceilings, baseboards, or floors
13 Ductless heat pump, also known as a “mini-split”
99 Other 
-2 Not applicable, home is not heated",SPACE HEATING
,outlier,EQUIPAUX,num,Num,Secondary space heating equipment used; a derived variable,"1 Yes, secondary equipment used
0 No, home is heated but secondary equipment not used
-2 Not applicable, home is not heated",SPACE HEATING
,outlier,FUELAUX,cat,Num,Secondary space heating fuel,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood or pellets
99 Other
-2 Not applicable",SPACE HEATING
,outlier,USEEQUIPAUX,num,Num,Secondary heating equipment usage,"1 Use all or almost all of the time
2 Use at least once per week
3 Use a few times per month
4 Use only when it is very cold
5 Use only in rare situations, such as when a guest is visiting
-2 Not applicable",SPACE HEATING
,outlier,NUMPORTEL,num,Num,Number of portable electric heaters used,"1 - 9
-2 Not applicable",SPACE HEATING
,outlier,NUMFIREPLC,num,Num,Number of fireplaces used,"1 - 7
-2 Not applicable",SPACE HEATING
,outlier,NUMDLHP,num,Num,Number of ductless heat pump units used for heating,"1 - 8
-2 Not applicable",SPACE HEATING
,outlier,BASEHEAT,num,Num,Heating used in basement,"1 Yes
0 No
-2 Not applicable",SPACE HEATING
,outlier,ATTCHEAT,num,Num,Heating used in attic,"1 Yes
0 No
-2 Not applicable",SPACE HEATING
,outlier,GARGHEAT,num,Num,Heating used in attached garage,"1 Yes
0 No
-2 Not applicable",SPACE HEATING
,y,HUMIDTYPE,cat,Num,Type of humidifier used,"1 Yes, a portable humidifier
2 Yes, a whole-home humidifier
0 No",SPACE HEATING
,outlier,NUMPORTHUM,num,Num,Number of portable humidifiers used,"1 - 8
-2 Not applicable",SPACE HEATING
,outlier,USEHUMID,num,Num,Humidifier household usage,"1 Use only occasionally, such as when someone in the household is sick 
2 Use only during winter months
3 Use about half of the year
4 Use all or almost all of the year
99 Other 
-2 Not applicable",SPACE HEATING
derived,n,ELWARM,,Num,Electricity used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING
derived,n,UGWARM,,Num,Natural gas used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING
derived,n,LPWARM,,Num,Propane used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING
derived,n,FOWARM,,Num,Fuel oil used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING
derived,n,WDWARM,,Num,Wood used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING
,y,AIRCOND,num,Num,Air conditioning equipment used,"1 Yes
0 No",AIR CONDITIONING
,outlier,COOLAPT,num,Num,Main air conditioning equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING
,outlier,ACEQUIPM_PUB,cat,Num,Main air conditioning equipment type - public file variable,"1 Central air conditioner (includes central heat pump)
3 Ductless heat pump, also known as a “mini-split”
4 Window or wall air conditioner
5 Portable air conditioner
6 Evaporative or swamp cooler
-2 Not applicable",AIR CONDITIONING
,outlier,ACEQUIPAGE,num,Num,Age of main air conditioning equipment,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",AIR CONDITIONING
,outlier,ACEQUIPAUXTYPE_PUB,cat,Num,Secondary air conditioning equipment type - public file variable,"0 No other equipment used
1 Central air conditioner (includes central heat pump)
3 Ductless heat pump, also known as a “mini-split”
4 Window or wall air conditioner
5 Portable air conditioner
6 Evaporative or swamp cooler
-2 Not applicable",AIR CONDITIONING
,outlier,NUMDLHPAC,num,Num,Number of ductless heat pump units used for air conditioning,"1 - 9
-2 Not applicable",AIR CONDITIONING
,outlier,NUMWWAC,num,Num,Number of window or wall air conditioners used,"1 - 9
-2 Not applicable",AIR CONDITIONING
,outlier,NUMPORTAC,num,Num,Number of portable air conditioners used,"1 - 8
-2 Not applicable",AIR CONDITIONING
,outlier,BASECOOL,num,Num,Air conditioning used in basement,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING
,outlier,ATTCCOOL,num,Num,Air conditioning used in attic,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING
,outlier,GARGCOOL,num,Num,Air conditioning used in attached garage,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING
,y,NUMCFAN,num,Num,Number of ceiling fans used,0 - 15,AIR CONDITIONING
,y,NUMFLOORFAN,num,Num,Number of floor or window fans used,0 - 10,AIR CONDITIONING
,outlier,USECFAN,num,Num,Most-used ceiling fan usage,"1 Use only occasionally, such as when it is very hot or when guests are over
2 Use only during summer months to stay cool
3 Use about half of the year
4 Use all or almost all of the year, such as for white noise or air circulation
99 Other 
-2 Not applicable",AIR CONDITIONING
,outlier,HOUSEFAN,num,Num,Any whole house cooling fans used,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING
,outlier,ATTICFAN,num,Num,Any attic exhaust fans used,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING
,y,DEHUMTYPE,cat,Num,Type of dehumidifier used,"1 Yes, a portable dehumidifier
2 Yes, a whole-home dehumidifier
0 No",AIR CONDITIONING
,outlier,NUMPORTDEHUM,num,Num,Number of portable dehumidifiers used,"1 - 8
-2 Not applicable",AIR CONDITIONING
,outlier,USEDEHUM,num,Num,Dehumidifier usage,"1 Use only occasionally, such as when someone in the household is suffering from allergies
2 Use only during summer months
3 Use about half of the year
4 Use all or almost all of the year
99 Other 
-2 Not applicable",AIR CONDITIONING
derived,n,ELCOOL,,Num,Electricity used for air conditioning; a derived variable,"1 Yes
0 No",AIR CONDITIONING
